query,predicted_label
"Am I able to choose my seat during the flight booking process, and are there any additional fees for certain seats?",Seat Selection
Am I eligible for a refund if my flight is canceled?,Refunds and Compensation
Any current travel restrictions?,Travel Restrictions
App crashes on startup. Help!,Mobile App Issues
Are animals allowed on Ryanair flights?,Pet Travel
Are duty-free items available on all flights?,Duty-Free Shopping
Are duty-free items available on Ryanair flights?,Duty-Free Shopping
Are duty-free products available on Ryanair flights?,Duty-Free Shopping
Are face masks required on Ryanair flights due to COVID-19?,COVID-19 Policies
Are masks mandatory on all Ryanair flights?,COVID-19 Policies
Are masks required on all Ryanair flights?,COVID-19 Policies
Are masks required on flights to Italy?,COVID-19 Policies
Are masks still required on Ryanair flights due to COVID-19?,COVID-19 Policies
Are meals and drinks provided during the flight?,In-flight Services
Are meals included in my flight?,In-flight Services
Are meals included in Ryanair's in-flight services?,In-flight Services
Are meals included on Ryanair flights or do I need to purchase them?,In-flight Services
"Are meals or beverages included on Ryanair flights, or do I need to purchase them separately?",In-flight Services
Are meals or drinks provided on Ryanair flights?,In-flight Services
Are meals or snacks provided during Ryanair flights? Do I need to pre-order them?,In-flight Services
Are meals or snacks provided on Ryanair flights?,In-flight Services
Are meals provided on Ryanair flights?,In-flight Services
Are pets allowed on board Ryanair flights?,Pet Travel
Are pets allowed on Ryanair flights?,Pet Travel
"Are pets allowed on Ryanair flights? If so, what are the requirements and procedures for bringing a pet on board with me?",Pet Travel
Are pets allowed on Ryanair flights? What are the rules and fees associated with pet travel?,Pet Travel
Are pets allowed on Ryanair flights? What are the rules and fees for traveling with a pet? Do I need to book in advance?,Pet Travel
Are pets allowed on your flights?,Pet Travel
Are pets allowed to fly in the cabin with Ryanair?,Pet Travel
Are pets allowed to fly on Ryanair?,Pet Travel
Are pets allowed to travel in the cabin on Ryanair flights?,Pet Travel
Are pets allowed to travel in the cabin with Ryanair?,Pet Travel
Are pets allowed to travel in the cabin?,Pet Travel
"Are pets allowed to travel on your flights? If so, what are the requirements?",Pet Travel
Are pets permitted in the cabin on Ryanair flights?,Pet Travel
Are pets permitted on your flights?,Pet Travel
Are Ryanair travel vouchers applicable for my current booking?,Travel Vouchers
Are there amenities for infants on your flights?,Child and Infant Travel
Are there any active discount codes for Ryanair flights?,Promotions and Discounts
Are there any active promotions or discount codes for Ryanair flights? How can I find and apply them to my booking?,Promotions and Discounts
Are there any additional benefits for members of Ryanair's loyalty program?,Loyalty Programs
Are there any additional costs for requesting special assistance?,Special Assistance
Are there any additional fees for checked baggage?,Baggage Policies
Are there any additional safety measures for traveling with a baby on Ryanair?,Child and Infant Travel
Are there any airline alliances Ryanair is part of?,Partnerships and Alliances
Are there any airline partnerships that Ryanair is part of?,Partnerships and Alliances
